               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.072339,            0.020288,            0.015566,             0.59311,             0.56417,             0.61459,             0.33096,            0.036846,           0.0074757,             0.01063,            0.070029,           0.0033301,           0.0033301
                   1,             0.05248,            0.016749,            0.011841,             0.61792,             0.56911,             0.62427,             0.28416,            0.037775,           0.0071813,           0.0078167,            0.039969,           0.0066035,           0.0066035
                   2,            0.050316,             0.01692,             0.01143,             0.55345,             0.48726,             0.51932,             0.27981,            0.036086,           0.0083216,           0.0077928,            0.009849,           0.0098168,           0.0098168
                   3,            0.049549,            0.017365,            0.011402,             0.59919,             0.55079,             0.59083,             0.31676,            0.034903,           0.0079581,           0.0068876,             0.00973,             0.00973,             0.00973
                   4,            0.046967,            0.016863,            0.011014,              0.6075,             0.62007,             0.64109,             0.35945,            0.033941,            0.007654,           0.0066962,             0.00973,             0.00973,             0.00973
                   5,             0.04578,            0.016923,            0.010877,             0.62686,             0.62261,             0.65957,             0.37764,            0.031369,           0.0076088,           0.0064848,             0.00964,             0.00964,             0.00964
                   6,            0.044933,            0.016538,             0.01016,             0.72201,             0.64965,             0.70423,             0.40353,            0.032975,           0.0071747,           0.0057648,             0.00955,             0.00955,             0.00955
                   7,            0.044512,            0.016305,            0.010121,             0.71426,             0.64169,             0.70842,             0.41553,            0.030897,            0.007283,            0.005887,             0.00946,             0.00946,             0.00946
                   8,            0.043868,            0.016485,            0.010027,             0.69214,             0.66236,             0.70845,             0.41151,            0.032103,           0.0072236,           0.0052109,             0.00937,             0.00937,             0.00937
                   9,            0.043714,            0.016253,           0.0099408,             0.68339,             0.64436,             0.68933,             0.40625,            0.030018,           0.0074831,           0.0048938,             0.00928,             0.00928,             0.00928
                  10,            0.042972,            0.016188,           0.0098091,             0.70342,             0.64624,             0.70823,             0.42968,            0.030923,           0.0071668,           0.0048068,             0.00919,             0.00919,             0.00919
                  11,            0.043083,             0.01637,           0.0095033,             0.73021,             0.68877,             0.74462,             0.46406,            0.029504,           0.0068388,           0.0046392,              0.0091,              0.0091,              0.0091
                  12,            0.042755,            0.016248,           0.0093516,             0.72576,             0.68145,             0.73299,             0.45278,            0.030073,           0.0070707,           0.0048175,             0.00901,             0.00901,             0.00901
