               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.068018,            0.024044,            0.020741,             0.63591,             0.62381,             0.65291,             0.33931,            0.039726,            0.010484,            0.012921,            0.070058,           0.0033269,           0.0033269
                   1,            0.047211,            0.020384,            0.015046,             0.62975,             0.62141,             0.62648,             0.33579,            0.038215,            0.010183,            0.012767,            0.039992,           0.0065943,           0.0065943
                   2,            0.045338,            0.021255,            0.015621,             0.59632,              0.5166,               0.557,             0.26595,            0.040911,            0.012246,            0.014506,           0.0098599,           0.0097957,           0.0097957
                   3,            0.045131,            0.022204,            0.016477,             0.59533,             0.55845,             0.61435,             0.31186,            0.039585,            0.011336,            0.011202,            0.009703,            0.009703,            0.009703
                   4,            0.042848,            0.021859,            0.015907,             0.63252,              0.5706,             0.58163,             0.31948,            0.036223,             0.01093,            0.016359,            0.009703,            0.009703,            0.009703
                   5,            0.041415,            0.021395,            0.015239,             0.66038,             0.62445,             0.65277,             0.36061,            0.037304,            0.010611,            0.010832,            0.009604,            0.009604,            0.009604
                   6,            0.040538,            0.021181,            0.014602,              0.5874,             0.64661,             0.64713,             0.33472,            0.036313,            0.011198,             0.01018,            0.009505,            0.009505,            0.009505
                   7,            0.039747,            0.020704,            0.014278,             0.67338,             0.61734,             0.67017,             0.37994,            0.034615,            0.010402,            0.012468,            0.009406,            0.009406,            0.009406
                   8,             0.03907,            0.020618,            0.013289,             0.63453,             0.64381,             0.66263,             0.38185,             0.03387,            0.010533,            0.010057,            0.009307,            0.009307,            0.009307
                   9,            0.038226,            0.020336,             0.01335,             0.71303,             0.60825,             0.70784,             0.42798,            0.033686,            0.010111,            0.010511,            0.009208,            0.009208,            0.009208
                  10,            0.037872,            0.020507,            0.012989,             0.69219,             0.63573,               0.691,             0.40918,             0.03412,            0.010344,           0.0088239,            0.009109,            0.009109,            0.009109
                  11,            0.037932,            0.020336,            0.012717,             0.70036,             0.71376,             0.72246,             0.42989,            0.032765,            0.010056,           0.0089251,             0.00901,             0.00901,             0.00901
                  12,             0.03774,            0.020378,            0.012488,             0.69854,              0.6613,             0.69969,             0.41995,            0.032025,            0.010307,           0.0090364,            0.008911,            0.008911,            0.008911
                  13,            0.036687,            0.020205,            0.012003,             0.71153,             0.67433,             0.72177,             0.43377,            0.031752,            0.010076,           0.0069639,            0.008812,            0.008812,            0.008812
                  14,            0.036372,            0.020076,            0.011862,             0.73542,              0.6831,             0.74433,             0.45513,            0.031811,            0.009939,           0.0090236,            0.008713,            0.008713,            0.008713
                  15,            0.036681,            0.019843,            0.011827,             0.73768,             0.65699,             0.73824,             0.46003,            0.031789,           0.0096066,           0.0074461,            0.008614,            0.008614,            0.008614
                  16,            0.035805,            0.019891,             0.01132,             0.75181,             0.69614,              0.7634,             0.47526,            0.031203,           0.0096787,           0.0068198,            0.008515,            0.008515,            0.008515
                  17,            0.035754,              0.0196,            0.011347,             0.71007,             0.67713,              0.7254,             0.44607,            0.032037,            0.010006,           0.0081183,            0.008416,            0.008416,            0.008416
                  18,            0.036171,            0.019416,             0.01099,             0.68857,             0.70138,             0.74537,             0.45903,             0.03213,           0.0097715,           0.0060816,            0.008317,            0.008317,            0.008317
                  19,            0.035206,            0.019494,            0.011025,             0.70598,              0.6856,              0.7289,             0.45607,            0.031646,           0.0098652,           0.0082745,            0.008218,            0.008218,            0.008218
                  20,            0.035154,            0.019423,            0.011091,             0.72438,             0.70597,             0.75142,             0.46771,            0.030734,           0.0098189,           0.0076365,            0.008119,            0.008119,            0.008119
                  21,            0.034896,            0.019473,            0.010491,             0.71158,             0.69679,              0.7308,             0.43667,            0.032586,            0.010019,           0.0093424,             0.00802,             0.00802,             0.00802
                  22,            0.034922,            0.019362,            0.010244,             0.76471,             0.69468,             0.77096,              0.4879,              0.0314,           0.0095704,            0.006579,            0.007921,            0.007921,            0.007921
                  23,            0.034358,            0.019312,           0.0098701,             0.73459,             0.75511,             0.77672,             0.48738,            0.030037,           0.0095113,           0.0065334,            0.007822,            0.007822,            0.007822
                  24,            0.034191,             0.01923,            0.010056,             0.81441,             0.72118,             0.79573,             0.51122,            0.030317,           0.0094952,           0.0063077,            0.007723,            0.007723,            0.007723
                  25,            0.034006,            0.019213,            0.009593,             0.76319,             0.71907,             0.77906,             0.49468,            0.030879,           0.0096201,           0.0057161,            0.007624,            0.007624,            0.007624
                  26,            0.034282,             0.01923,           0.0098762,             0.81821,             0.73492,              0.8055,              0.5176,            0.029979,           0.0093049,           0.0058248,            0.007525,            0.007525,            0.007525
                  27,            0.033974,            0.019146,           0.0094569,             0.73703,             0.74339,              0.7918,              0.5142,            0.029331,           0.0091846,            0.007931,            0.007426,            0.007426,            0.007426
                  28,            0.033761,            0.018928,           0.0091325,             0.81431,             0.71116,             0.79461,             0.52072,            0.028364,           0.0093324,           0.0058827,            0.007327,            0.007327,            0.007327
                  29,            0.033537,             0.01884,           0.0091231,             0.76811,             0.74987,             0.79546,             0.51615,            0.029234,           0.0093281,           0.0074777,            0.007228,            0.007228,            0.007228
                  30,            0.033371,            0.018715,           0.0089107,             0.81644,             0.73369,             0.81042,             0.53089,            0.029594,           0.0089386,           0.0051974,            0.007129,            0.007129,            0.007129
                  31,            0.033609,            0.018736,           0.0092794,             0.79034,             0.71394,             0.79029,             0.52662,             0.02888,           0.0093185,           0.0064968,             0.00703,             0.00703,             0.00703
                  32,            0.033385,            0.018657,           0.0087679,             0.72903,             0.72432,              0.7688,             0.50128,            0.028889,           0.0094095,           0.0078054,            0.006931,            0.006931,            0.006931
                  33,            0.033076,            0.018825,           0.0087258,             0.78549,             0.74961,              0.7904,             0.51127,            0.029101,           0.0094447,           0.0044502,            0.006832,            0.006832,            0.006832
                  34,            0.032597,            0.018494,           0.0086246,             0.80342,             0.73995,              0.8028,             0.53819,            0.028714,           0.0090193,           0.0040794,            0.006733,            0.006733,            0.006733
                  35,            0.032582,            0.018349,           0.0088883,             0.79929,             0.75988,             0.80323,             0.53718,            0.028188,           0.0090687,           0.0051121,            0.006634,            0.006634,            0.006634
                  36,            0.032829,            0.018544,           0.0082436,              0.7795,             0.72825,             0.79405,             0.52884,            0.028113,            0.009161,           0.0054107,            0.006535,            0.006535,            0.006535
                  37,             0.03223,            0.018737,           0.0083236,             0.78967,             0.75701,             0.79509,             0.52592,            0.029253,           0.0090177,           0.0060409,            0.006436,            0.006436,            0.006436
