               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.055316,             0.02843,                   0,             0.68631,             0.57078,             0.62881,             0.25926,             0.02399,            0.009185,                   0,            0.070201,            0.003311,            0.003311
                   1,            0.037028,            0.021779,                   0,             0.73606,             0.81279,             0.78819,              0.3677,            0.021218,           0.0071644,                   0,            0.040136,           0.0065785,           0.0065785
                   2,            0.032693,            0.018923,                   0,              0.7745,             0.81552,             0.80252,             0.37198,            0.022721,           0.0070044,                   0,            0.010004,           0.0097801,           0.0097801
                   3,            0.033231,            0.018845,                   0,             0.61262,             0.68493,             0.60975,              0.2413,            0.023468,           0.0075498,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.030278,            0.018397,                   0,             0.82273,             0.83105,             0.81119,             0.38985,            0.019985,           0.0073571,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.029377,            0.018604,                   0,             0.79352,             0.80724,             0.82476,             0.39305,            0.019148,           0.0072403,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.028765,            0.018157,                   0,             0.81971,             0.81279,             0.85338,             0.40851,            0.020135,           0.0070506,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.028391,            0.018238,                   0,             0.84205,             0.82192,             0.85961,             0.42528,            0.018421,           0.0067669,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.027613,            0.017401,                   0,             0.78802,             0.83562,             0.83967,             0.42964,            0.017767,           0.0067551,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.026953,            0.017816,                   0,             0.80287,             0.88584,             0.84542,             0.43193,            0.018363,           0.0066926,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.025316,            0.017357,                   0,             0.84118,             0.85845,             0.87256,              0.4405,            0.019888,           0.0071004,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.024402,            0.016712,                   0,             0.80167,             0.81209,             0.82748,             0.40109,            0.018788,           0.0070179,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.024961,            0.017306,                   0,             0.72739,             0.83105,             0.80439,             0.37869,            0.019574,           0.0071539,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.025669,            0.016849,                   0,             0.82899,             0.87671,             0.86794,               0.429,            0.019915,           0.0068011,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.025576,            0.016929,                   0,             0.80982,             0.83562,             0.82136,             0.41105,            0.020268,           0.0071092,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.025029,            0.016399,                   0,             0.85162,             0.86483,             0.85018,             0.42193,            0.020629,           0.0071499,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.024316,            0.016907,                   0,             0.84504,             0.85388,             0.84975,             0.42511,            0.020467,           0.0069315,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.024313,            0.016746,                   0,             0.80396,             0.86143,             0.83214,             0.41365,            0.019809,           0.0070024,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.024022,            0.016387,                   0,             0.81683,             0.83562,             0.82949,             0.39179,            0.018958,           0.0072309,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.025071,            0.016615,                   0,             0.82333,             0.84475,             0.85979,             0.44765,            0.018323,           0.0071078,                   0,            0.008218,            0.008218,            0.008218
                  20,              0.0249,            0.016542,                   0,             0.78388,             0.81152,             0.82194,             0.40377,            0.019771,           0.0073092,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.023228,             0.01615,                   0,             0.83236,             0.85845,             0.83868,             0.42118,            0.019497,           0.0075184,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.024151,             0.01631,                   0,              0.7862,             0.83954,             0.79537,             0.39222,            0.018717,           0.0072838,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.023399,            0.015939,                   0,              0.8114,             0.81735,             0.82052,             0.41237,            0.019133,           0.0073101,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.023749,            0.015909,                   0,              0.7938,             0.84018,             0.83602,             0.43566,            0.019629,           0.0071863,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.023804,            0.015956,                   0,             0.79803,             0.81191,              0.8108,             0.38347,            0.022189,           0.0076853,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.022608,            0.015493,                   0,             0.83863,             0.85845,              0.8453,             0.42297,            0.020376,           0.0072744,                   0,            0.007525,            0.007525,            0.007525
                  27,              0.0224,            0.015656,                   0,              0.8203,             0.87215,             0.83588,             0.40088,            0.019532,           0.0073055,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.022258,            0.015394,                   0,              0.8353,             0.84475,             0.83277,             0.40699,            0.022313,           0.0074225,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.021512,            0.015299,                   0,             0.83161,             0.84018,             0.86713,             0.42632,            0.019008,            0.007544,                   0,            0.007228,            0.007228,            0.007228
                  30,            0.022501,            0.015226,                   0,             0.82078,             0.86301,             0.83774,              0.4176,            0.018423,           0.0073154,                   0,            0.007129,            0.007129,            0.007129
                  31,            0.021632,             0.01551,                   0,             0.85613,             0.84232,             0.84102,             0.43639,            0.019877,           0.0075916,                   0,             0.00703,             0.00703,             0.00703
                  32,            0.021097,            0.015065,                   0,             0.78745,             0.82893,             0.78486,             0.38649,            0.020116,           0.0076966,                   0,            0.006931,            0.006931,            0.006931
                  33,            0.021802,            0.014849,                   0,             0.86182,              0.8544,             0.85724,             0.42442,            0.019773,           0.0080816,                   0,            0.006832,            0.006832,            0.006832
                  34,            0.021635,            0.015175,                   0,             0.82891,             0.86278,             0.84144,             0.41962,            0.019444,           0.0077827,                   0,            0.006733,            0.006733,            0.006733
                  35,            0.021992,            0.015041,                   0,             0.83071,             0.84475,             0.81839,             0.40156,            0.020152,           0.0081319,                   0,            0.006634,            0.006634,            0.006634
                  36,            0.020785,            0.014865,                   0,             0.85708,             0.82152,              0.8449,             0.41411,            0.020314,            0.008389,                   0,            0.006535,            0.006535,            0.006535
                  37,            0.020805,            0.015134,                   0,             0.80235,              0.8712,             0.81555,             0.40713,            0.019526,           0.0078314,                   0,            0.006436,            0.006436,            0.006436
                  38,            0.021168,            0.014897,                   0,             0.83258,             0.83105,             0.84693,             0.40753,            0.019204,           0.0079532,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.021198,            0.014833,                   0,             0.83876,             0.85845,              0.8085,             0.39164,            0.020537,           0.0077788,                   0,            0.006238,            0.006238,            0.006238
                  40,             0.01963,            0.014474,                   0,             0.82996,             0.82648,             0.83742,             0.40408,            0.020015,           0.0085726,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.021163,            0.014452,                   0,             0.85032,             0.82648,             0.84536,              0.4326,            0.020519,           0.0081238,                   0,             0.00604,             0.00604,             0.00604
