               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.031099,            0.020907,            0.030908,             0.79268,               0.771,             0.86664,              0.6234,            0.019176,           0.0067925,           0.0051413,            0.070144,           0.0033173,           0.0033173
                   1,            0.025507,            0.013581,           0.0063958,              0.9227,              0.8926,             0.96135,             0.71187,            0.019505,           0.0056356,           0.0020549,            0.040013,            0.006519,            0.006519
                   2,            0.026908,            0.012783,           0.0058616,              0.9015,             0.87796,               0.941,             0.66752,            0.021777,           0.0058683,           0.0032754,           0.0097489,           0.0095886,           0.0095886
                   3,            0.028266,              0.0131,           0.0062859,             0.93722,             0.90886,              0.9594,             0.69872,            0.020379,           0.0057984,           0.0024274,            0.009406,            0.009406,            0.009406
                   4,            0.027284,            0.012683,           0.0055698,             0.93512,             0.89895,             0.95475,             0.67303,            0.021649,           0.0062534,           0.0029494,            0.009406,            0.009406,            0.009406
                   5,            0.026312,            0.012138,            0.004318,             0.95985,             0.92306,               0.976,             0.74296,            0.019806,           0.0054679,             0.00193,            0.009208,            0.009208,            0.009208
                   6,            0.026256,            0.012151,           0.0046815,             0.96458,             0.91536,             0.97174,              0.7195,            0.019734,           0.0055902,           0.0040033,             0.00901,             0.00901,             0.00901
                   7,            0.025266,            0.011931,           0.0039414,              0.9231,             0.91496,             0.96956,             0.74311,            0.018588,           0.0054224,           0.0024495,            0.008812,            0.008812,            0.008812
                   8,            0.024624,            0.011568,           0.0038503,             0.94538,             0.93323,             0.96999,              0.7404,            0.018904,           0.0053866,            0.002806,            0.008614,            0.008614,            0.008614
                   9,            0.024586,             0.01169,           0.0046044,              0.9625,             0.92617,             0.97468,             0.74798,            0.018458,           0.0053518,           0.0022525,            0.008416,            0.008416,            0.008416
                  10,            0.024128,            0.011491,           0.0033193,             0.95522,             0.96266,             0.98109,             0.76393,            0.018371,           0.0050541,           0.0023297,            0.008218,            0.008218,            0.008218
                  11,            0.023348,            0.011289,           0.0038188,             0.97135,             0.93669,              0.9822,             0.75961,            0.016483,           0.0050523,           0.0029954,             0.00802,             0.00802,             0.00802
                  12,            0.023664,            0.011256,           0.0033846,             0.97722,             0.94492,             0.98474,             0.78585,            0.016737,           0.0048099,           0.0022185,            0.007822,            0.007822,            0.007822
                  13,            0.023352,            0.010976,           0.0031838,             0.95705,             0.93661,             0.98597,              0.7833,            0.016655,           0.0048281,           0.0021721,            0.007624,            0.007624,            0.007624
                  14,            0.022802,            0.011072,           0.0033157,             0.95622,             0.95548,             0.98496,             0.78291,            0.016061,           0.0049702,           0.0019005,            0.007426,            0.007426,            0.007426
                  15,             0.02257,            0.010773,           0.0027531,             0.96781,             0.95145,             0.98386,             0.79589,            0.015771,             0.00461,           0.0020019,            0.007228,            0.007228,            0.007228
                  16,             0.02185,            0.010562,            0.003048,             0.97767,             0.95408,             0.98947,             0.79789,            0.015764,             0.00468,           0.0025593,             0.00703,             0.00703,             0.00703
                  17,             0.02177,             0.01058,           0.0032411,             0.95998,             0.95479,             0.98149,             0.79135,            0.016387,           0.0047362,           0.0030052,            0.006832,            0.006832,            0.006832
                  18,            0.022037,            0.010704,           0.0033926,             0.93181,             0.91435,             0.96586,             0.75945,            0.016718,            0.005296,           0.0037106,            0.006634,            0.006634,            0.006634
                  19,            0.021804,             0.01073,           0.0032621,             0.96522,             0.96903,             0.98913,               0.807,            0.015692,            0.004484,           0.0026848,            0.006436,            0.006436,            0.006436
                  20,            0.021605,            0.010321,           0.0029013,             0.97742,             0.95751,             0.98994,              0.8025,             0.01546,           0.0046945,           0.0014914,            0.006238,            0.006238,            0.006238
                  21,            0.021431,            0.010358,           0.0027493,             0.97806,             0.94942,             0.98922,             0.80425,             0.01618,           0.0046241,           0.0019961,             0.00604,             0.00604,             0.00604
                  22,            0.020877,            0.010307,           0.0022305,             0.97302,             0.97574,              0.9899,             0.81584,            0.015958,           0.0044864,            0.003126,            0.005842,            0.005842,            0.005842
                  23,            0.020778,             0.01032,           0.0025668,               0.986,             0.96902,             0.99084,             0.80467,            0.015344,           0.0045656,           0.0026597,            0.005644,            0.005644,            0.005644
                  24,            0.020266,           0.0099479,           0.0019102,              0.9839,             0.95128,              0.9866,             0.81366,            0.014771,           0.0045319,           0.0029136,            0.005446,            0.005446,            0.005446
                  25,            0.020248,           0.0099552,           0.0025154,             0.97547,             0.96606,             0.98974,             0.81007,            0.015323,           0.0045564,          0.00094625,            0.005248,            0.005248,            0.005248
                  26,            0.019838,            0.010078,           0.0025024,             0.97358,             0.96564,             0.98802,             0.81742,            0.014617,            0.004586,           0.0020851,             0.00505,             0.00505,             0.00505
                  27,            0.019739,            0.010032,           0.0022464,             0.98251,             0.95961,             0.98938,              0.8179,            0.014488,           0.0044101,            0.002285,            0.004852,            0.004852,            0.004852
                  28,            0.019448,           0.0096726,           0.0025153,             0.97551,             0.96568,             0.98994,             0.82855,            0.014082,           0.0043144,           0.0023361,            0.004654,            0.004654,            0.004654
                  29,            0.019295,           0.0096419,           0.0019773,             0.97381,             0.98007,             0.99246,             0.82119,            0.014196,           0.0043275,           0.0015447,            0.004456,            0.004456,            0.004456
                  30,            0.019036,           0.0096499,           0.0022141,             0.98164,             0.97987,             0.99258,             0.83398,            0.014331,           0.0042587,           0.0013105,            0.004258,            0.004258,            0.004258
                  31,            0.018863,           0.0096242,           0.0021868,              0.9813,             0.98384,             0.99182,             0.83013,            0.014118,           0.0042779,           0.0020475,             0.00406,             0.00406,             0.00406
                  32,            0.019315,           0.0097076,           0.0024352,             0.98139,             0.97372,             0.99233,             0.82977,            0.014209,           0.0042495,           0.0021894,            0.003862,            0.003862,            0.003862
                  33,            0.018721,           0.0095364,           0.0016075,             0.97527,             0.98152,             0.99279,             0.83403,            0.013616,           0.0041949,           0.0020363,            0.003664,            0.003664,            0.003664
                  34,            0.018274,           0.0094335,           0.0016965,             0.97178,             0.97574,             0.99237,             0.84162,            0.013743,           0.0041043,           0.0024824,            0.003466,            0.003466,            0.003466
                  35,            0.018322,           0.0092511,           0.0018656,             0.98615,               0.979,             0.98963,             0.83354,            0.013908,            0.004186,           0.0023452,            0.003268,            0.003268,            0.003268
                  36,            0.018071,           0.0092713,           0.0015753,             0.97773,             0.97374,             0.99108,             0.83149,            0.013912,           0.0041657,           0.0024003,             0.00307,             0.00307,             0.00307
                  37,             0.01781,           0.0091609,           0.0015197,             0.97387,             0.98016,             0.99181,             0.83721,            0.013483,           0.0042023,           0.0024574,            0.002872,            0.002872,            0.002872
                  38,            0.017265,           0.0089095,           0.0015083,             0.98431,             0.96874,             0.98932,             0.83717,            0.013215,           0.0041763,            0.003362,            0.002674,            0.002674,            0.002674
                  39,            0.017651,            0.009099,           0.0019263,             0.98886,             0.97943,             0.99281,             0.84843,             0.01349,           0.0041517,           0.0024064,            0.002476,            0.002476,            0.002476
                  40,            0.017191,           0.0089465,           0.0014938,             0.99167,             0.97981,             0.99176,             0.84617,            0.013297,           0.0040741,           0.0026334,            0.002278,            0.002278,            0.002278
                  41,            0.017352,           0.0091681,           0.0017403,              0.9836,             0.98236,             0.99273,             0.85124,            0.013001,           0.0041063,           0.0027656,             0.00208,             0.00208,             0.00208
                  42,            0.017301,           0.0087919,           0.0015982,             0.97687,             0.98384,             0.99284,             0.84322,            0.012851,           0.0040932,           0.0022698,            0.001882,            0.001882,            0.001882
                  43,            0.016786,            0.008892,            0.001514,             0.99043,             0.97647,             0.99267,             0.85035,            0.012802,           0.0040529,           0.0023942,            0.001684,            0.001684,            0.001684
                  44,            0.017026,           0.0087469,           0.0015597,             0.98504,             0.98384,              0.9929,             0.85277,            0.012652,           0.0039881,           0.0024475,            0.001486,            0.001486,            0.001486
                  45,            0.016518,           0.0087385,           0.0014605,             0.98384,             0.97872,              0.9927,              0.8555,            0.012845,           0.0040018,           0.0026338,            0.001288,            0.001288,            0.001288
                  46,            0.016635,           0.0085895,             0.00158,             0.98322,             0.98179,             0.99284,             0.85506,            0.012797,           0.0039793,           0.0025497,             0.00109,             0.00109,             0.00109
                  47,            0.016497,            0.008705,            0.001463,             0.99017,             0.97864,             0.99246,             0.85297,            0.012664,           0.0039998,           0.0022211,            0.000892,            0.000892,            0.000892
                  48,            0.016626,           0.0087195,           0.0013221,             0.98842,             0.98074,             0.99329,             0.85787,            0.012925,           0.0039767,           0.0022031,            0.000694,            0.000694,            0.000694
                  49,            0.016312,           0.0087534,           0.0013792,             0.99107,             0.98103,             0.99286,             0.85758,            0.012904,           0.0039772,           0.0021353,            0.000496,            0.000496,            0.000496
